AL,AK,AZ,AR,CA,CO,CT,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,MD,MO,NV,NH,NY,NC,ND,OH,OK,OKS,OR,PA,SC,SD,UT,VT,WA,WI,id,seats,prob
R,R,D,R,D,D,D,R,R,D,R,D,R,R,R,R,R,D,R,D,D,D,R,R,R,R,R,D,R,R,R,R,D,D,R,RRDRDDDRRDRDRRRRRDRDDDRRRRRDRRRRDDR,51.0,20.0
R,R,R,R,D,D,D,R,R,D,R,D,R,R,R,R,R,D,R,D,R,D,R,R,R,R,R,D,R,R,R,R,D,D,R,RRRRDDDRRDRDRRRRRDRDRDRRRRRDRRRRDDR,53.0,10.0
R,R,R,R,D,D,D,R,R,D,R,R,R,R,R,R,R,D,R,R,R,R,R,R,R,R,R,D,R,R,R,R,D,D,R,RRRRDDDRRDRRRRRRRDRRRRRRRRRDRRRRDDR,56.0,10.0
R,R,R,R,D,D,D,R,R,D,R,D,R,R,R,R,R,D,R,R,R,D,R,R,R,R,R,D,R,R,R,R,D,D,R,RRRRDDDRRDRDRRRRRDRRRDRRRRRDRRRRDDR,54.0,10.0
R,R,R,R,D,D,D,R,R,D,R,D,R,R,R,R,R,D,R,D,D,D,R,R,R,R,R,D,R,R,R,R,D,D,D,RRRRDDDRRDRDRRRRRDRDDDRRRRRDRRRRDDD,51.0,10.0
R,R,D,R,D,D,D,R,D,D,R,D,R,R,R,R,R,D,D,D,D,D,R,R,D,R,R,D,D,R,R,R,D,D,D,RRDRDDDRDDRDRRRRRDDDDDRRDRRDDRRRDDD,46.0,10.0
R,R,D,R,D,D,D,R,D,D,R,D,R,R,R,R,R,D,R,D,D,D,R,R,R,R,R,D,D,R,R,R,D,D,D,RRDRDDDRDDRDRRRRRDRDDDRRRRRDDRRRDDD,48.0,10.0
R,R,R,R,D,D,D,R,D,D,R,D,R,R,R,R,R,D,R,D,D,D,D,R,R,R,R,D,R,R,R,R,D,D,R,RRRRDDDRDDRDRRRRRDRDDDDRRRRDRRRRDDR,50.0,10.0
R,R,R,R,D,R,D,R,R,D,R,D,R,R,R,R,R,D,R,R,R,D,R,R,R,R,R,R,R,R,R,R,D,R,R,RRRRDRDRRDRDRRRRRDRRRDRRRRRRRRRRDRR,57.0,10.0
